Label,Line_0_1,Line_1_2,Line_2_3,Line_3_4,Line_0_5,Line_5_6,Line_6_7,Line_7_8,Line_0_9,Line_9_10,Line_10_11,Line_11_12,Line_0_13,Line_13_14,Line_14_15,Line_15_16,Line_0_17,Line_17_18,Line_18_19,Line_19_20
A,106.85,126.74,140.09,151.25,153.4,160.61,154.36,150.53,166.33,170.94,163.88,161.18,179.4,176.36,179.68,176.77,161.57,163.19,161.35,162.43
A,120.17,133.43,143.08,153.72,158.47,162.93,155.81,154.44,171.6,173.12,165.44,166.43,173.56,174.64,179.71,179.29,157.0,161.84,163.76,162.33
A,120.79,132.88,142.33,153.54,156.99,161.1,154.82,153.98,170.62,171.29,164.61,166.34,174.36,175.93,179.52,179.65,157.18,163.63,165.2,163.64
A,113.86,128.5,139.23,150.61,155.13,159.52,152.02,151.04,168.23,170.22,161.73,162.38,177.25,177.41,176.95,176.46,160.85,164.47,166.58,166.8
A,107.79,123.98,138.38,148.83,151.46,155.5,148.55,146.78,164.88,166.5,159.09,158.91,179.6,179.25,175.35,174.9,162.85,168.39,168.59,167.43
A,107.7,122.71,135.54,146.41,148.74,153.69,146.83,145.62,161.87,164.05,156.01,157.05,176.85,176.44,170.64,170.98,165.56,170.93,173.0,170.78
B,138.74,156.62,175.53,169.54,165.38,171.21,174.28,176.4,177.06,179.7,178.78,177.95,171.89,172.21,172.44,172.75,158.95,162.46,164.51,165.92
B,124.13,145.07,165.38,179.05,157.48,162.73,165.53,167.55,169.27,171.23,172.5,173.16,179.63,179.23,178.73,178.19,167.23,171.01,173.07,174.54
A,126.39,138.76,147.79,156.75,163.24,162.01,154.82,156.42,174.65,170.82,162.05,166.86,172.04,178.67,174.22,179.8,156.16,166.76,171.95,166.62
B,131.18,150.69,169.28,175.99,161.0,166.19,168.67,170.52,173.1,174.62,175.5,176.0,175.23,176.71,177.58,178.32,162.17,166.47,169.06,170.87
B,126.09,149.63,169.52,175.52,159.92,165.77,168.56,170.67,172.84,174.85,175.64,176.07,174.89,176.03,177.08,177.89,161.56,165.62,168.34,170.29
